time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
669,353,82,0.405006147156,-1,0.457359547114,0.833958854905,0.425676858765,0.41757601503,0.538671714584
670,353,82,-1,-1,0.45751665697,0.834635193677,0.425756579204,0.41757601503,0.539075387224
671,353,82,-1,-1,0.457517219334,0.834637614586,0.425756579204,0.41757601503,0.539077277839
672,354,82,0.427409936707,-1,0.457419457043,0.834582729604,0.425771297462,0.417572127021,0.539030143259
673,355,82,0.437232259107,-1,0.457562771402,0.834765895649,0.425842713199,0.417685818805,0.539612235019
674,356,82,0.247108889479,-1,0.457149645822,0.834771092765,0.424774266623,0.418485557091,0.539573186579
675,356,82,-1,-1,0.457150584662,0.834775168706,0.424772845743,0.41849236083,0.539573186579
676,356,82,-1,-1,0.457151035193,0.83477712467,0.424772501789,0.418494954038,0.539573186579
677,356,82,-1,-1,0.457738221728,0.834770184158,0.42476333827,0.418506396724,0.541569448756
678,357,82,0.423933658213,-1,0.457640554204,0.834757223883,0.424757315404,0.418497856203,0.541567894685
679,357,82,-1,-1,0.457710011894,0.835059618945,0.424757315404,0.418497856203,0.541804050829
680,357,82,-1,-1,0.458725697372,0.835604209393,0.426894496297,0.418496287331,0.541839147126
681,358,82,0.423576404679,-1,0.458641543791,0.835665457085,0.426875217767,0.418500127598,0.541883334823
682,359,82,-1,-1,0.458875402919,0.836094037149,0.426991682658,0.418500127598,0.541704382646
683,359,82,-1,-1,0.459258754809,0.83619006173,0.427765256606,0.418584847034,0.541702240181
684,359,83,-1,-1,0.460700682369,0.835303384055,0.428039666609,0.418986986175,0.545829570519
685,359,83,-1,-1,0.460703508681,0.835315608706,0.428039666609,0.418986986175,0.545839142652
686,359,83,-1,-1,0.460839692048,0.835403400107,0.428281846644,0.418988408777,0.54591312288
687,359,83,-1,-1,0.460840184587,0.835405530484,0.428283308599,0.418987572479,0.54591312288
688,359,83,-1,-1,0.460870153101,0.835535153334,0.428283308599,0.418987572479,0.546014620017
689,360,83,0.332416971277,-1,0.460512196752,0.835530200276,0.427711475857,0.419000070028,0.546013528798
690,360,83,-1,-1,0.460581669727,0.835831528843,0.427711906931,0.419013240781,0.546238346207
691,360,84,-1,-1,0.460962466923,0.835444747733,0.42813579611,0.419660026007,0.546339250651
692,360,84,-1,-1,0.460963089737,0.835447416936,0.428131643416,0.419671099472,0.546339250651
693,360,84,-1,-1,0.461101221863,0.835628577003,0.428132821847,0.419905285278,0.546620907484
694,360,84,-1,-1,0.461202125657,0.836061021835,0.428132821847,0.420034349041,0.54686132267
695,360,84,-1,-1,0.461208274205,0.836087372755,0.428133557464,0.42003416822,0.546881168061
696,361,84,0.350663157222,-1,0.460904375797,0.836097346464,0.427682638864,0.420033165366,0.546886438925
697,361,84,-1,-1,0.462127693949,0.836136144398,0.430245868744,0.420072517075,0.546886438925
698,361,85,-1,-1,0.462397081006,0.83472874164,0.43070231122,0.420301053552,0.546886438925
699,361,85,-1,-1,0.463133898759,0.835064970772,0.432090683926,0.420301053552,0.547156056625
700,361,85,-1,-1,0.463210027701,0.835388294868,0.432094906817,0.42031191178,0.547399908914
701,361,86,-1,-1,0.46345280695,0.834163561074,0.432496734991,0.420326189646,0.547567185803
702,361,86,-1,-1,0.463451364713,0.834157507032,0.432496734991,0.420326189646,0.547562274034
703,362,86,-1,-1,0.463246874891,0.834157507032,0.432246324027,0.420326189646,0.547562274034
704,362,87,-1,-1,0.464129700235,0.83271901642,0.434064055135,0.420327228641,0.547626856566
705,363,87,0.399533828091,-1,0.463964369862,0.832771670982,0.433862764386,0.420327741209,0.547672431695
706,364,87,-1,-1,0.464764742785,0.832787631615,0.4338582841,0.424252126248,0.54769294805
707,365,88,-1,-1,0.464525675306,0.831890281745,0.433881580063,0.422415283138,0.548704186659
708,365,88,-1,-1,0.464588986362,0.832152878739,0.433883175086,0.422512533293,0.548840687445
709,365,89,-1,-1,0.465289074484,0.831626609974,0.434592275718,0.422513404726,0.550093355482
710,366,89,0.29062263528,-1,0.464965515797,0.832232945846,0.433970722773,0.422690655007,0.550142232912
711,367,89,-1,-1,0.464603940202,0.832258784734,0.433376419278,0.422694900783,0.550160483142
712,367,89,-1,-1,0.464606477532,0.832269247657,0.433376419278,0.422694900783,0.550169268049
713,367,89,-1,-1,0.465379273954,0.832447775972,0.434902164843,0.422868687673,0.550184976921
714,367,89,-1,-1,0.465379395527,0.832448277289,0.434902164843,0.422868687673,0.550185397838
715,367,89,-1,-1,0.465377229347,0.832439344841,0.434902164843,0.422868687673,0.550177897953
716,367,89,-1,-1,0.46551492779,0.833007157521,0.434899203463,0.422967212033,0.550579600549
717,368,89,0.413367451126,-1,0.466155012814,0.8330257069,0.434786244044,0.422967212033,0.553278165367
718,368,89,-1,-1,0.466969915274,0.833025340466,0.436490316306,0.422967212033,0.553277857701
719,369,90,-1,-1,0.467249721743,0.832046944654,0.436670169497,0.423634847319,0.553820431839
720,369,90,-1,-1,0.467286862862,0.832199223244,0.436695418122,0.423732450945,0.553827694099
721,369,90,-1,-1,0.467286884066,0.832199310179,0.436695418122,0.423732450945,0.553827767911
722,369,90,-1,-1,0.467302407652,0.832262956883,0.436695418122,0.423732450945,0.553881807566
723,370,90,-1,-1,0.466941803819,0.832413416609,0.436038029398,0.423732450945,0.55400955639
724,370,90,-1,-1,0.466941766435,0.832413262921,0.436038029398,0.423732450945,0.554009425899
725,371,90,-1,-1,0.466559794224,0.832609196287,0.436038029398,0.422412719379,0.554175784418
726,371,90,-1,-1,0.466650806581,0.832984369448,0.436230049078,0.422410197801,0.554175784418
727,371,90,-1,-1,0.46665240178,0.832990945213,0.43623121999,0.422414567886,0.554175784418
728,373,90,-1,-1,0.466034499853,0.832935159997,0.435096484783,0.422414567886,0.553375814766
729,375,90,0.260827069583,0.260827069583,0.465009429383,0.833224198152,0.433160742459,0.422608352303,0.553458573581
730,375,90,-1,-1,0.465006676255,0.833212726789,0.433160742459,0.422608352303,0.553448924771
731,375,91,-1,-1,0.465479585114,0.833344745522,0.433160742459,0.422608352303,0.555106315632
732,376,91,0.465984340385,-1,0.466227817271,0.834186276024,0.43398641512,0.423752239938,0.555700196661
733,377,91,-1,-1,0.466328213762,0.834209824604,0.433990178759,0.423761668281,0.555208216892
734,377,91,-1,-1,0.466333714487,0.834232613321,0.433990178759,0.423761668281,0.555227418496
735,377,91,-1,-1,0.466380864226,0.834427947952,0.434011847694,0.423919092987,0.555227418496
736,377,91,-1,-1,0.466406672483,0.834534867875,0.434011241206,0.423992313209,0.55525886394
737,377,91,-1,-1,0.466405381923,0.834529521268,0.434011241206,0.423992313209,0.555254358928
738,377,91,-1,-1,0.46713745427,0.834529521268,0.434011241206,0.423992313209,0.557809833695
739,377,91,-1,-1,0.467135409353,0.834521049472,0.434011241206,0.423992313209,0.557802695423
740,377,91,-1,-1,0.46732482321,0.835305764019,0.4340193459,0.424419109663,0.558102547146
741,378,91,-1,-1,0.467243581241,0.835735199078,0.433818892178,0.424419109663,0.558464385946
742,379,91,-1,-1,0.467554664689,0.835735199078,0.4339853052,0.424419109663,0.559583568659
743,379,91,-1,-1,0.467550870643,0.835719397502,0.4339853052,0.424419109663,0.559570254368
744,379,91,-1,-1,0.468819806824,0.836016765828,0.436465448888,0.424411557991,0.559826967931
